image,title,description,total time,ingredients,instructions
https://pinchofyum.com/wp-content/uploads/Italian-Salad-1-Square-183x183.jpg,Big Yummy Italian Salad,"I love a big Italian salad! Crisp romaine, salty salami and cheese, briney pepperoncini, and toasty garlic breadcrumbs. YUM!",15 minutes,pepperoncini italian season romain lettuc panko red onion chees provolon salami garlic powder pepperoncini brine parmesan chees,"['Prep Salad Stuff: Chop all your salad veggies, meat, cheese, etc.', 'Make Golden Crispy Garlic Panko: Mix panko, oil, and garlic powder in a bowl. Microwave for 1 minute, stir, and microwave again for 20-40 seconds until it’s nice and golden. (It’ll be hot! Don’t taste it yet.) Season with salt.', 'Toss with No-Recipe Dressing: Add all your salad stuff to a large bowl. Drizzle with oil, pepperoncini brine, Italian seasoning, salt and pepper. Toss to combine, taste, adjust, you know the drill. Finish by tossing those golden panko crispies in there! YUM!']"
https://pinchofyum.com/wp-content/uploads/Crispy-Rice-Salad-1-Square-183x183.jpg,Crispy Rice Salad with Cucumbers and Herbs,"Paper-thin veggies, a shower of herbs, a pile of fried crispy red curry rice, and a limey garlicky vinaigrette all over top. This crispy rice salad is all I want to eat right now!",30 minutes,cornstarch cucumb jasmin rice ginger garlic brown sugar fish sauc lime juic shallot chili crisp cilantro red curri past peanut mint,"['Dressing: Blitz everything up in a blender or food processor to make this SUPER yummy, punchy sauce.', 'Crispy Rice: Toss the rice in a bowl with the oil and curry paste. If it’s not sticking together when you squeeze it, add the cornstarch and get your hands wet to mix it again (this happens if the rice is pre-cooked or several days old). Squeeze it into loose, squishy chunks and transfer to the air fryer in a single layer. Air fry at 400 for 7-9 minutes, until golden and crisped. (See Note 3 for alternative methods – I find the air fryer to be fastest and most convenient!)', 'You’re Done! Yum!\xa0Break the crispy rice apart into little golden, delightful chunks. Toss with about half of the dressing and however many veggies you want. Garnish it with some peanuts and chili crisp if you want. I mean, honestly. Wow. This is so good.']"
https://pinchofyum.com/wp-content/uploads/Gochujang-Sauce-1-2-Square-183x183.jpg,Incredible Gochujang Sauce,"This delightful, creamy, silky, incredible gochujang sauce is what I put on everything! Dipped with chicken, drizzled on a bowl, tossed in a salad – perfect in every way.",5 minutes,rice vinegar garlic soy sauc mayo gochujang sauc,"['Mix all ingredients together in a small bowl. Taste and adjust! I usually add a small pinch of salt because I love salt. You can also thin it out with a tablespoon of water so more of a drizzle if that’s what you’re going for!', 'Serve as a dip with grilled or air-fried chicken, a dressing for a creamy slaw, a spread on a burger – whatever floats your boat. It’s all so delicious.']"
https://pinchofyum.com/wp-content/uploads/Air-Fryer-Salmon-2-Square-183x183.jpg,Ridiculously Good Air Fryer Salmon,"This air fryer salmon is TOO GOOD. Crisped and golden on the outside, buttery and juicy on the inside, and made in 15 minutes start to finish.",13 minutes,cornstarch chili powder brown sugar onion powder paprika garlic powder salmon,"['Prep the salmon: Remove the skin from your salmon, if it has skin. Pat with paper towels so the surface is mostly dry. Cut your salmon into cubes, 1 to 2 inches each (see photo).', 'Prep the spices: Mix the spices together in a small bowl.', 'Toss salmon with spices: Toss your salmon cubes in the spices and oil – I usually use my hands to mix it all together.', 'Air fry the salmon: Place your salmon pieces in the air fryer (I just dump them right in) and spread them out a bit so they’re not laying all over each other. Air fry at 400 degrees for 8 minutes!', 'You’re Done! Yum! At this point it should be textured and golden on the outside, and juicy and delicious on the inside. When you press each piece with a fork, they should easily flake / slip apart with a buttery, juicy texture inside. (You can do 6-7 minutes if you prefer more of a medium doneness.)']"
https://pinchofyum.com/wp-content/uploads/Two-Giant-Cookies-2-1024x1536-Square-183x183.jpg,Two Huge Chocolate Chip Cookies,"Just two chocolate chip cookies – lightly crisp around the edge, and dense and buttery through the middle. They are thick enough to sink your teeth into and just really, really good.",15 minutes,cornstarch allpurpos flour brown sugar white sugar egg yolk chocol chip vanilla bake soda butter,"['Preheat the oven to 350 degrees.', 'Mix butter, sugars, vanilla, and egg yolk until combined.\xa0', 'Stir in flour, cornstarch, baking soda, and salt. When a soft dough has formed, stir in the chocolate chips.', 'Roll the dough into two balls and place on a baking sheet – there should be plenty for two large cookies plus a little bit of dough for a snack. (You’re welcome.) You can add more chocolate chips to the top of the cookies if you want.', 'Bake for 10-12 minutes, depending on your oven temp and desired level of gooey cookie center.\xa0', 'Rest the cookies for a few minutes so they settle down and solidify a bit –\xa0 I set a timer for 10-15 minutes and just let them rest right on the pan. At that point they should be able to transfer to a plate, or maybe even held in your hand, for warm, delicious eating on the couch. Yum, yum, yum.']"
https://pinchofyum.com/wp-content/uploads/Marry-Me-Chicken-6-Square-183x183.jpg,Marry Me Chicken,"Golden, juicy chicken coated in a simple creamy sauce with tomatoes, garlic, and thyme. I like it with mashed potatoes and a salad! This is just so good.",40 minutes,cream thyme garlic chicken tomato chicken broth butter tomato past,"['Sauce Base: Heat a large skillet over medium low heat. Add the butter, garlic, and tomato paste; sauté for a few minutes until it’s all soft and fragrant.\xa0', 'Add Cream, Broth, and Thyme: Add the cream; whisk to get the tomato paste smooth. Add the broth and thyme sprigs; simmer for 10-15 minutes to thicken the sauce until it reduces and clings to the back of a spoon. (If you’re using the air fryer chicken, now is a good time to start that.)', 'Add Tomatoes and Chicken:\xa0Pop your drained diced tomatoes in the sauce and stir them in. Tuck the cooked chicken into the sauce and spoon a bit of sauce over the top.\xa0', 'You’re Done! Yum.\xa0Sprinkle some thyme, parsley, or basil over the top to make it look pretty. Serve the pieces of chicken with spoonfuls of the sauce over rice, noodles, or mashed potatoes (personal fave) and a side salad for a beautiful, mega delicious meal.']"
https://pinchofyum.com/wp-content/uploads/Crispy-Air-Fryer-Tofu-Square-183x183.jpg,Ridiculously Good Air Fryer Tofu,"The crispiest air fryer tofu – in 15 minutes! Extremely easy, incredibly versatile, and an absolute weeknight go-to.",20 minutes,cornstarch nutrit yeast tofu sauc soy sauc allpurpos spice,"['Mix The Batter: In a medium size mixing bowl, whisk the nutritional yeast, cornstarch, soy sauce, oil, and spices into a batter. It should be fairly loose and runny.', 'Coat The Tofu: Tear the tofu into chunks and place them directly into the batter bowl. Using a wide spatula, gently toss the tofu in tbe batter until it’s entirely coated.', 'Air Fry: Air fry at 400 degrees for 8-10 minutes (see Note 5). Stop and give it a shake. And now air fry at 400 again for another 5 minutes until you reach your desired level of golden crispiness!', 'Sauce and Serve: To serve, toss the tofu your favorite sauce for a recipe (curries! stir fries! rice bowls!) or just pop these guys into some dipping sauce like a little nugget. Incredible.']"
https://pinchofyum.com/wp-content/uploads/Baked-Tortellini-1-square-183x183.jpg,Baked Tortellini with Sausage,,40 minutes,celeri babi spinach mozzarella chees italian sausag garlic bread parsley garlic chees tortellini carrot tomato sauc tomato fennel seed yellow onion chicken broth parmesan,"['Brown the sausage:\xa0Heat a very large oven-safe skillet over medium high heat. Add the oil and the sausage; break apart with a wooden spoon and brown until it’s got some nice color. Transfer to a bowl and drain out any of the oil that you don’t want (I usually drain off about a tablespoon, leaving a tablespoon in the pan).', 'Sauté the veggies:\xa0If you’ve got some browning on the bottom of your pan – great. Add the veggies and they should start to pull up some of that yummy brown flavor. Add the fennel seeds. Cook until the veggies are fragrant and soft – you can add a bit of salt or oil if you’re feeling chefy. Then add the sausage back in.', 'Add everything else:\xa0Add your tomato sauce, your tortellini, and 1 cup of broth. The pan will be full. Let it come to a low simmer and cook for 5 minutes or so to cook the tortellini. If you need more liquid to cook the tortellini, go ahead and add some or all of the remaining broth. Sometimes I just pop a lid on and leave it for a while on low heat.', 'Spinach and cheese:\xa0Give it a taste – if you used canned tomatoes instead of a jar of sauce, it will probably need some salt. Add the spinach and stir it in until it wilts. Top the whole thing with the mozzarella cheese and pop it into the oven at 375 for 8-10 minutes, or until the cheese is nice and melty.\xa0', 'Finish:\xa0Sprinkle some grated parm on top along with some chopped parsley, and dunk into that baby with some chunks of garlic bread. SO GOOD.']"
https://pinchofyum.com/wp-content/uploads/Butter-Cauliflower-and-Chickpeas-1-Square-183x183.jpg,Butter Cauliflower and Chickpeas with Mint Cilantro Sauce,"This Butter Cauliflower and Chickpeas is a weeknight staple! Roasty spiced cauliflower, a jar of butter sauce, a can of chickpeas, and a pile of steamy rice with a waterfall of mint sauce on top.",40 minutes,cumin cauliflow jalapeo chickpea garlic butter chicken sauc juic lime mayo plain greek yogurt paprika cilantro mint,"['Roast the cauliflower: Toss the cauliflower with the avocado oil, cumin, garam masala, curry powder, smoked paprika, and salt. Roast at 425 / 20 minutes in the air fryer, or 425 / 30 minutes in the oven until nice and roasty and golden.', 'Make the mint sauce:\xa0Blitz everything up until it’s nice and smooth. I like to really blend this one so it’s less chunky and more of a smooth green sauce.', 'Butter sauce time: Add butter sauce and chickpeas to a large skillet. Smash the chickpeas lightly with a potato masher to give a more interesting texture if you want (I do want). Add cauliflower back in.\xa0', 'Serve: Serve the butter cauliflower on rice and top with the mint sauce. Add pickled onions if you want. ENJOY!']"
https://pinchofyum.com/wp-content/uploads/Sesame-Butter-Noodles-1-Square-183x183.jpg,Shortcut Sesame Butter Noodles,"One of my favorite back-pocket recipes! Packaged noodles for ease, butter for creaminess, honey for sweetness, and sesame oil for depth. Just tangly slips of joy!",12 minutes,green onion sauci noodl momofuku soy soy scallion honey butter,"['Make the noodles: Cook the noodles according to package directions, including adding in the little sauce packet.', 'Add the extras: Once prepared, toss hot noodles gently with the butter, honey, and sesame oil. Taste and adjust to however you like it. It should be silky when hot but it will get more sticky the longer you wait – if it’s too sticky, add a bit of warm water to loosen it which will emulsify and make it just a little creamy. It’s perfect.', 'Finish and serve: Finish with chili crisp, scallions, or some kind of sesame or spicy sprinkle! Ideal little snack, or you can make it more of a rounded out meal by serving with a fried egg and/or a salad. Or ground chicken. Or shrimp. It’s the kind of thing that’s good with everything.']"
